i,local_time,ok,status,latency_ms,error
461,2026-05-16T22:21:47.358,1,200,259.244,
462,2026-05-16T22:21:47.654,1,200,234.622,
463,2026-05-16T22:21:47.954,1,200,245.106,
464,2026-05-16T22:21:48.252,1,200,237.894,
465,2026-05-16T22:21:48.559,1,200,240.957,
466,2026-05-16T22:21:48.869,1,200,247.522,
467,2026-05-16T22:21:49.163,1,200,236.858,
468,2026-05-16T22:21:49.454,1,200,238.804,
469,2026-05-16T22:21:49.765,1,200,246.458,
470,2026-05-16T22:21:50.065,1,200,242.501,
471,2026-05-16T22:21:50.373,1,200,247.115,
472,2026-05-16T22:21:50.676,1,200,244.015,
473,2026-05-16T22:21:50.979,1,200,242.777,
474,2026-05-16T22:21:51.287,1,200,245.726,
475,2026-05-16T22:21:51.586,1,200,240.202,
476,2026-05-16T22:21:51.876,1,200,237.997,
477,2026-05-16T22:21:52.174,1,200,245.752,
478,2026-05-16T22:21:52.473,1,200,241.993,
479,2026-05-16T22:21:52.791,1,200,254.084,
480,2026-05-16T22:21:53.110,1,200,254.324,
481,2026-05-16T22:21:53.412,1,200,240.231,
482,2026-05-16T22:21:53.907,1,200,431.311,
483,2026-05-16T22:21:54.207,1,200,248.782,
484,2026-05-16T22:21:54.511,1,200,249.014,
485,2026-05-16T22:21:54.804,1,200,238.606,
486,2026-05-16T22:21:55.096,1,200,240.952,
487,2026-05-16T22:21:55.408,1,200,248.506,
488,2026-05-16T22:21:55.703,1,200,236.848,
489,2026-05-16T22:21:56.095,1,200,340.788,
490,2026-05-16T22:21:56.386,1,200,237.941,
491,2026-05-16T22:21:56.672,1,200,235.817,
492,2026-05-16T22:21:56.969,1,200,243.816,
493,2026-05-16T22:21:57.271,1,200,242.466,
494,2026-05-16T22:21:57.572,1,200,236.903,
495,2026-05-16T22:21:57.866,1,200,243.467,
496,2026-05-16T22:21:58.168,1,200,239.271,
497,2026-05-16T22:21:58.458,1,200,238.453,
498,2026-05-16T22:21:58.762,1,200,251.643,
499,2026-05-16T22:21:59.058,1,200,244.777,
