i,local_time,ok,status,latency_ms,error
278,2026-05-16T22:23:25.786,1,200,249.259,
279,2026-05-16T22:23:26.081,1,200,238.309,
280,2026-05-16T22:23:26.369,1,200,237.545,
281,2026-05-16T22:23:26.662,1,200,240.705,
282,2026-05-16T22:23:26.970,1,200,243.985,
283,2026-05-16T22:23:27.283,1,200,250.423,
284,2026-05-16T22:23:27.592,1,200,253.901,
285,2026-05-16T22:23:27.897,1,200,253.641,
286,2026-05-16T22:23:28.191,1,200,244.22,
287,2026-05-16T22:23:28.500,1,200,249.47,
288,2026-05-16T22:23:28.806,1,200,250.332,
289,2026-05-16T22:23:29.107,1,200,246.967,
290,2026-05-16T22:23:29.417,1,200,251.669,
291,2026-05-16T22:23:29.716,1,200,245.78,
292,2026-05-16T22:23:30.021,1,200,244.933,
293,2026-05-16T22:23:30.332,1,200,249.694,
294,2026-05-16T22:23:30.632,1,200,244.775,
295,2026-05-16T22:23:30.935,1,200,243.503,
296,2026-05-16T22:23:31.239,1,200,243.755,
297,2026-05-16T22:23:31.542,1,200,242.511,
298,2026-05-16T22:23:31.849,1,200,245.407,
299,2026-05-16T22:23:32.161,1,200,251.772,
300,2026-05-16T22:23:32.466,1,200,252.959,
301,2026-05-16T22:23:32.767,1,200,250.294,
302,2026-05-16T22:23:33.080,1,200,257.55,
303,2026-05-16T22:23:33.385,1,200,241.166,
304,2026-05-16T22:23:33.697,1,200,249.292,
305,2026-05-16T22:23:34.002,1,200,250.047,
306,2026-05-16T22:23:34.307,1,200,248.837,
307,2026-05-16T22:23:34.614,1,200,251.191,
308,2026-05-16T22:23:34.916,1,200,247.635,
309,2026-05-16T22:23:35.228,1,200,253.794,
310,2026-05-16T22:23:35.546,1,200,253.106,
311,2026-05-16T22:23:35.853,1,200,255.32,
312,2026-05-16T22:23:36.165,1,200,247.165,
313,2026-05-16T22:23:36.459,1,200,236.165,
314,2026-05-16T22:23:36.746,1,200,235.105,
315,2026-05-16T22:23:37.035,1,200,235.693,
316,2026-05-16T22:23:37.331,1,200,242.917,
317,2026-05-16T22:23:37.638,1,200,244.249,
318,2026-05-16T22:23:37.947,1,200,249.727,
319,2026-05-16T22:23:38.254,1,200,252.373,
320,2026-05-16T22:23:38.569,1,200,249.144,
321,2026-05-16T22:23:38.865,1,200,240.605,
322,2026-05-16T22:23:39.174,1,200,244.65,
323,2026-05-16T22:23:39.481,1,200,247.033,
324,2026-05-16T22:23:39.792,1,200,252.157,
325,2026-05-16T22:23:40.103,1,200,259.83,
326,2026-05-16T22:23:40.405,1,200,242.238,
327,2026-05-16T22:23:40.720,1,200,251.547,
328,2026-05-16T22:23:41.036,1,200,262.501,
329,2026-05-16T22:23:41.343,1,200,251.036,
330,2026-05-16T22:23:41.639,1,200,242.882,
331,2026-05-16T22:23:41.938,1,200,237.742,
332,2026-05-16T22:23:42.231,1,200,239.283,
333,2026-05-16T22:23:42.544,1,200,249.166,
334,2026-05-16T22:23:42.857,1,200,256.63,
335,2026-05-16T22:23:43.177,1,200,257.13,
336,2026-05-16T22:23:43.492,1,200,252.244,
337,2026-05-16T22:23:43.802,1,200,257.129,
338,2026-05-16T22:23:44.120,1,200,256.795,
339,2026-05-16T22:23:44.423,1,200,253.058,
340,2026-05-16T22:23:44.733,1,200,257.995,
341,2026-05-16T22:23:45.050,1,200,256.565,
342,2026-05-16T22:23:45.350,1,200,249.114,
343,2026-05-16T22:23:45.656,1,200,250.022,
344,2026-05-16T22:23:45.972,1,200,260.395,
345,2026-05-16T22:23:46.283,1,200,251.967,
346,2026-05-16T22:23:46.582,1,200,248.08,
347,2026-05-16T22:23:46.887,1,200,246.952,
348,2026-05-16T22:23:47.180,1,200,237.213,
349,2026-05-16T22:23:47.468,1,200,236.355,
